id,coucodiso,stopidszdc,namesinwri,fixrouidci,zastid,zastx,zasty,altname,loc_type,X
1916,CZ,55640,Hněvčeves,xxxx0001824A,833,15.7214776896684,50.3125437692899,,S1,-647553
1532,CZ,56740,Dvůr Králové nad Labem,xxxx0001260A,835,15.7983900070428,50.4137317960552,,S1,-640784
1876,CZ,56670,Nová Paka,xxxx0001800A,836,15.5230934726507,50.4866135043216,,S1,-659224
263,CZ,56640,Stará Paka,xKADR045644C,837,15.4870843247912,50.5160935786437,,S1,-661360
261,CZ,56690,Horka u Staré Paky,xKADR045644C,838,15.5680945768416,50.5267737148326,,S1,-655513
1872,CZ,56910,Roztoky u Jilemnice,xxxx0001800A,839,15.4899709711238,50.5545808011188,,S1,-660634
1871,CZ,56930,Martinice v Krkonoších,xxxx0001800A,840,15.5411074788801,50.5806936845539,,S1,-656684
2820,CZ,57190,Hrabačov,xxxx0015500A,841,15.5014461403972,50.6233377062475,,S1,-658894
2342,CZ,57160,Jilemnice,xxxx0005748A,842,15.5138460354337,50.6043388680089,,S1,-658280
1869,CZ,56940,Kunčice nad Labem,xxxx0001800A,843,15.6225765903784,50.5836952064511,,S1,-650916
2340,CZ,57210,Podhůří,xxxx0005730A,844,15.624740991224,50.6006761746585,,S1,-650536
2341,CZ,57200,Vrchlabí,xxxx0005730A,845,15.6226138704592,50.6186721157811,,S1,-650445
1534,CZ,56710,Mostek,xxxx0001260A,846,15.6922140811007,50.4912412048282,,S1,-647247
1533,CZ,56730,Bílá Třemešná,xxxx0001260A,847,15.7330175376359,50.451904571833,,S1,-644893
1865,CZ,56970,Hostinné,xxxx0001800A,848,15.7377957664591,50.5367367762037,,S1,-643434
1863,CZ,57000,Pilníkov,xxxx0001800A,849,15.81291360923,50.534222512232,,S1,-638179
228,CZ,56800,Smiřice,xKADR045616C,851,15.8579042031579,50.2999807709763,,S1,-638067
225,CZ,56770,Jaroměř,xKADR045616C,852,15.9099306718645,50.3420340053991,,S1,-633840
1935,CZ,53930,Opočno pod Orlickými horami,xxxx0001870A,853,16.0859248295502,50.2784728772278,,S1,-622203
3049,CZ,54010,Dobruška,xxxx0020202A,854,16.1525570064748,50.289333300572,,S1,-617348
1938,CZ,53910,Bohuslavice nad Metují,xxxx0001870A,855,16.0959523637439,50.3281195102595,,S1,-620863
222,CZ,57500,Česká Skalice,xKADR045616C,857,16.0537266046165,50.3955922803879,,S1,-622989
1217,CZ,53880,Václavice,xxxx0000949A,858,16.1219705388262,50.395196169135,,S1,-618173
1196,CZ,57480,Starkoč,xxxx0000920A,859,16.1006017741555,50.4108720193895,,S1,-619484
1185,CZ,57040,Trutnov střed,xxxx0000920A,862,15.9454073882272,50.5776058890168,,S1,-628289
1186,CZ,57030,Trutnov-Poříčí,xxxx0000920A,863,15.958475090844,50.5790037790067,,S1,-627352
1193,CZ,57450,Červený Kostelec,xxxx0000920A,864,16.075421906883,50.4838107159485,,S1,-620334
1190,CZ,57410,Malé Svatoňovice,xxxx0000920A,865,16.0507410537538,50.5296095870661,,S1,-621490
2839,CZ,57320,Radvanice,xxxx0015752A,866,16.0600299931201,50.5753416812538,,S1,-620252
2838,CZ,57340,Janovice u Trutnova,xxxx0015752A,867,16.0847730994925,50.5869984218811,,S1,-618363
1943,CZ,57350,Adršpach,xxxx0001870A,868,16.1242686987964,50.6154549698659,,S1,-615224
340,CZ,53813,Choceň,xxxx0000070A,869,16.2232836146628,49.9937376954572,,S1,-616038
339,CZ,53842,Brandýs nad Orlicí,xxxx0000070A,870,16.2838865688903,50.0002794721383,,S1,-611639
338,CZ,53843,Brandýs nad Orlicí,xxxx0000070A,870,16.2838865688903,50.0002794721383,,S1,-611639
1928,CZ,54080,Újezd u Chocně,xxxx0001860A,871,16.1788815070985,50.0318286649456,,S1,-618722
1203,CZ,53280,Potštejn,xxxx0000934A,872,16.3152182788816,50.0837975674752,,S1,-608373
334,CZ,53923,Dlouhá Třebová,xxxx0000070A,873,16.4227017027213,49.9354691795445,,S1,-602540
336,CZ,53863,Ústí nad Orlicí,xxxx0000070A,874,16.3779821305362,49.9713648920419,,S1,-605290
1795,CZ,53380,Lanšperk,xxxx0001648A,875,16.447299012519,49.9927008964337,,S1,-600087
1201,CZ,53300,Litice nad Orlicí,xxxx0000934A,876,16.3578143235619,50.0869850001889,,S1,-605304
1197,CZ,53330,Letohrad,xxxx0000934A,877,16.5077078408098,50.0315456818842,,S1,-595312
1199,CZ,53320,Žamberk,xxxx0000934A,878,16.4499536240103,50.0738010762415,,S1,-598910
1208,CZ,53200,Častolovice,xxxx0000934A,879,16.1735482990759,50.128495804288,,S1,-617885
1206,CZ,53240,Kostelec nad Orlicí,xxxx0000934A,880,16.2242574782527,50.1167590009793,,S1,-614429
1205,CZ,53260,Doudleby nad Orlicí,xxxx0000934A,881,16.2588536659968,50.1095930916712,,S1,-612060
3260,CZ,54160,Vamberk,xxxx0025220A,882,16.282328980008,50.1175905972937,,S1,-610292
3047,CZ,54100,Solnice,xxxx0020201A,884,16.2541476617058,50.2037658774226,,S1,-611221
3257,CZ,54170,Slatina nad Zdobnicí,xxxx0025220A,885,16.3776546946008,50.136833607092,,S1,-603280
1791,CZ,53400,Jablonné nad Orlicí,xxxx0001648A,887,16.5945804085733,50.0263484002496,,S1,-589186
1787,CZ,53430,Lichkov,xxxx0001648A,888,16.6589782058825,50.0972681970933,,S1,-583756
2516,CZ,53570,Štíty,xxxx0007165A,889,16.7547307999088,49.970182876031,,S1,-578435
2025,CZ,53520,Červená Voda,xxxx0001950A,890,16.7464801333376,50.04709590648,,S1,-578120
1786,CZ,53460,Dolní Lipka,xxxx0001648A,891,16.720931956803,50.0893984175828,,S1,-579441
2027,CZ,53500,Králíky,xxxx0001950A,892,16.7564430786635,50.0806469888869,,S1,-577017
1784,CZ,53480,Červený Potok,xxxx0001648A,893,16.7838204047749,50.1048483716688,,S1,-574785
1223,CZ,53820,Hronov,xxxx0000949A,894,16.1770749950197,50.4731250899456,,S1,-613300
1225,CZ,53800,Police nad Metují,xxxx0000949A,895,16.2119039362492,50.5133465211079,,S1,-610339
1229,CZ,53770,Teplice nad Metují,xxxx0000949A,896,16.1786902557218,50.5815911208036,,S1,-611822
1847,CZ,53610,Broumov,xxxx0001740A,897,16.3395718756984,50.5806631097741,,S1,-600509
570,CZ,34695,Lanžhot,xxxx0000130A,898,16.9625219949615,48.7325535655689,,S1,-577756
300,CZ,33425,Břeclav,xxxx0000070A,899,16.8932661984179,48.7539712952177,,S1,-582577
385,CZ,34955,Moravská Nová Ves,xxxx0000100A,901,17.0219135710233,48.7997434759111,,S1,-572649
386,CZ,34825,Lužice,xxxx0000100A,903,17.0619916379579,48.8279349740342,,S1,-569402
387,CZ,33845,Hodonín,xxxx0000100A,904,17.1223321044554,48.8561563676857,,S1,-564678
2124,SK,16486,Vrbovce,xxxx0002704A,906,17.5163500766752,48.8244293801536,,S1,-536243
1970,CZ,34275,Kobylí na Moravě,xxxx0001927A,907,16.8815138988677,48.9340088214031,,S1,-581357
1972,CZ,33635,Čejč,xxxx0001927A,908,16.9585926740679,48.9419612882545,,S1,-575649
2802,CZ,35145,Mutěnice,xxxx0014500A,909,17.0399060176902,48.9044923860918,,S1,-570148
